Name,Age,Country,Role,Matches,Experience ( in Yrs),Runs,Strike_Rate,Wickets,Economy,Average,Team_Preference,Auction_Price ( in Cr )
MS Dhoni,42,India,Wicketkeeper,350,20,12000,135.0,0,0.0,50.0,CSK,20.0
Sachin Tendulkar,45,India,Batter,400,24,18000,125.0,5,8.5,45.0,MI,1.5
Virat Kohli,36,India,Batter,300,16,13000,138.0,2,7.0,52.0,RCB,18.0
Rohit Sharma,37,India,Batter,280,17,14000,132.0,0,8.0,48.0,MI,18.0
Jasprit Bumrah,35,India,Bowler,196,7,2661,144.9,798,7.69,27.43,MI,12.0
Rahul Dravid,35,India,Batter,266,14,10359,106.0,8,6.64,30.65,RR,5.0
Sourav Ganguly,18,India,Batter,28,1,8574,120.9,8,7.84,30.19,KKR,3.0
Anil Kumble,22,India,Bowler,60,2,3127,103.4,424,6.33,30.23,RCB,0.5
Kapil Dev,21,India,Allrounder,27,1,2292,122.4,223,6.28,47.48,DC,0.5
Sunil Gavaskar,29,India,Batter,217,10,3711,125.9,14,6.7,40.73,MI,0.2
AB de Villiers,35,South Africa,Batter,119,4,9201,131.5,2,6.16,25.97,RCB,10.0
Chris Gayle,35,West Indies,Batter,242,10,12459,151.9,6,6.23,53.8,PBKS,3.0
Brian Lara,40,West Indies,Batter,47,3,13834,113.3,7,8.83,23.42,SRH,5.0
Ricky Ponting,42,Australia,Batter,170,10,6814,121.4,3,8.39,24.27,DC,0.2
Jacques Kallis,30,South Africa,Allrounder,133,5,6707,97.1,467,6.73,51.83,RCB,12.0
Yuvraj Singh,29,India,Allrounder,68,3,4410,134.8,147,5.91,30.91,PBKS,7.0
Gautam Gambhir,39,India,Batter,153,9,12980,127.8,5,7.82,26.47,KKR,0.5
Virender Sehwag,35,India,Batter,140,8,10573,141.5,12,9.39,52.88,PBKS,0.5
Harbhajan Singh,26,India,Bowler,103,4,1328,130.9,866,7.4,52.27,MI,0.5
Zaheer Khan,42,India,Bowler,37,2,3366,106.8,112,4.34,21.58,DC,1.0
R Ashwin,28,India,Bowler,139,7,271,118.3,296,5.24,29.5,RR,3.0
Bhuvneshwar Kumar,36,India,Bowler,219,11,2684,116.4,591,7.15,29.83,SRH,2.0
Mohammed Shami,30,India,Bowler,282,11,585,103.5,351,6.06,48.08,GT,1.0
Sanju Samson,22,India,Wicketkeeper,53,2,11697,99.5,0,0.0,54.54,RR,3.0
Rishabh Pant,35,India,Wicketkeeper,244,9,9043,141.3,0,0.0,26.96,DC,0.5
Andre Russell,29,West Indies,Allrounder,68,4,5674,143.9,292,5.02,44.74,KKR,1.0
Sunil Narine,20,West Indies,Allrounder,18,1,2752,141.3,361,7.55,22.59,KKR,1.5
Rashid Khan,23,Afghanistan,Bowler,98,4,260,102.0,474,5.36,50.21,GT,2.0
Kane Williamson,30,New Zealand,Batter,269,10,11669,114.9,8,8.18,22.22,SRH,7.0
David Warner,35,Australia,Batter,18,1,14169,114.5,8,7.09,45.54,DC,0.5
Ben Stokes,42,England,Allrounder,489,21,2413,148.2,190,7.23,36.53,CSK,2.0
Jos Buttler,31,England,Wicketkeeper,74,3,2553,102.2,0,0.0,44.96,RR,3.0
Jofra Archer,41,England,Bowler,263,9,3120,128.7,262,6.89,46.98,MI,0.2
Faf du Plessis,34,South Africa,Batter,115,4,13244,126.4,9,7.73,34.96,RCB,3.0
Quinton de Kock,38,South Africa,Wicketkeeper,356,17,5004,96.5,0,0.0,23.78,LSG,0.5
Kagiso Rabada,29,South Africa,Bowler,79,3,3905,133.2,877,4.12,31.0,PBKS,0.2
Shane Warne,34,Australia,Bowler,25,1,2001,149.5,99,5.93,28.73,RR,12.0
Glenn McGrath,21,Australia,Bowler,58,2,3406,140.3,394,5.56,28.01,DC,12.0
Brett Lee,25,Australia,Bowler,22,1,3596,112.4,660,4.29,25.64,PBKS,7.0
Adam Gilchrist,20,Australia,Wicketkeeper,30,1,3633,150.8,0,0.0,48.28,DC,1.0
Kumar Sangakkara,42,Sri Lanka,Wicketkeeper,334,18,4603,133.0,0,0.0,50.5,RR,0.2
Mahela Jayawardene,39,Sri Lanka,Batter,380,16,5705,106.2,8,8.81,51.24,DC,5.0
Muttiah Muralitharan,34,Sri Lanka,Bowler,264,14,3804,143.4,632,6.05,51.36,CSK,2.0
Wasim Akram,42,Pakistan,Bowler,713,24,823,101.6,810,5.21,27.98,KKR,0.5
Waqar Younis,27,Pakistan,Bowler,190,7,2661,144.1,462,5.62,50.13,SRH,2.0
Imran Khan,32,Pakistan,Allrounder,250,9,2491,125.6,166,5.02,34.61,GT,0.2
Brendon McCullum,25,New Zealand,Wicketkeeper,25,1,2844,108.3,0,0.0,24.2,KKR,10.0
Michael Clarke,36,Australia,Batter,387,18,12641,151.6,7,7.18,31.31,PWI,1.0
Vikas Patel,18,England,Batter,17,1,11423,137.2,7,7.82,32.73,CSK,5.0
Arjun Iyer,26,Sri Lanka,Bowler,151,8,3213,152.7,564,7.69,28.81,PBKS,1.0
Rahul Kulkarni,31,England,Batter,87,4,9735,113.1,14,7.74,29.97,RR,3.0
Amit Reddy,41,India,Batter,37,2,6139,131.6,6,6.13,37.59,DC,3.0
Manoj Iyer,35,Sri Lanka,Bowler,288,15,3581,111.7,157,4.2,51.79,SRH,0.5
Amit Kulkarni,32,India,Batter,218,13,6872,103.7,5,6.84,37.13,GT,12.0
Vikas Malik,31,India,Wicketkeeper,141,8,8709,154.1,0,0.0,28.47,RR,7.0
Sameer Shetty,18,Australia,Allrounder,28,1,7206,140.7,414,7.35,28.32,LSG,10.0
Vikas Verma,35,India,Bowler,388,16,3013,117.1,635,6.77,42.13,KKR,10.0
Amit Mehta,19,West Indies,Batter,20,1,3931,127.1,2,8.22,23.16,LSG,3.0
Pranav Malik,23,South Africa,Batter,18,1,12333,114.2,7,8.92,26.53,KKR,10.0
Manoj Kulkarni,36,West Indies,Batter,40,2,7272,130.5,6,6.14,43.71,PBKS,0.2
Rohan Reddy,39,Australia,Bowler,282,11,1295,125.7,849,4.06,27.93,RCB,0.5
Nikhil Mehta,20,India,Wicketkeeper,21,1,10788,133.7,0,0.0,26.1,MI,0.2
Sameer Patel,26,England,Allrounder,63,3,2792,118.2,264,7.42,52.79,KKR,1.5
Pranav Malik,35,Australia,Batter,176,10,5200,115.5,8,6.48,23.97,GT,1.5
Rohan Verma,21,India,Bowler,25,1,833,147.6,783,7.51,29.03,PBKS,1.0
Rohan Khan,38,India,Wicketkeeper,243,9,7033,134.6,0,0.0,48.6,CSK,7.0
Harshit Iyer,19,India,Allrounder,29,1,6019,126.8,401,6.94,28.46,SRH,1.5
Rahul Patel,31,West Indies,Batter,144,9,9049,148.8,4,6.33,51.51,RCB,1.0
Rohan Singh,31,England,Batter,58,3,14174,115.3,7,8.22,32.22,CSK,3.0
